,Name,Address,District,Type,Lat,Long
0,Alila SCBD Jakarta,"Jl. Jend. sudirman kav 52-53 No.11, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190",South Jakarta,Hotel,-6.2255022,106.8083302
1,All Sedayu,"Jalan Raya Boulevard Barat, Kelapa Gading Mall of Indonesia Lobby 5, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Daerah Khusus Ibukota Jakarta 14240",North Jakarta,Hotel,-6.1520522,106.8918648
2,Aloft Jakarta Wahid Hasyim,"Jl. KH Wahid Hasyim No.92, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",Central Jakarta,Hotel,-6.1863149,106.8272149
3,Ambhara Hotel,"Jl. Iskandarsyah Raya No.1, RW.2, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",South Jakarta,Hotel,-6.2433604,106.803287
4,Arcadia by Horison,"Jl. Tiangseng No.73, RW.6, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730",Central Jakarta,Hotel,-6.13820525,106.822735
5,Aryaduta Hotel Jakarta,"Jl. Prajurit KKO Usman dan Harun No.44-48, RT.7/RW.1, Gambir, Kecamatan Gambir, Jakarta, Daerah Khusus Ibukota Jakarta 10110",Central Jakarta,Hotel,-6.2201581,106.8160027
6,Aston Kemayoran City Hotel,"Jl. HBR Motik No.4, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610",Central Jakarta,Hotel,-6.154328215,106.8457068
7,Ayana Mid Plaza,"Jl. Jenderal Sudirman Blok 10-11, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",Central Jakarta,Hotel,-6.208931761,106.8197659
8,Best Western Kemayoran,"Jl. Benyamin Suaeb No.5, RT.13/RW.6, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630",Central Jakarta,Hotel,-6.1609676,106.8528811
9,Best Western Premier The Hive,"Jl. DI. Panjaitan No.Kav. 3-4, RT.7/RW.11, Cipinang Cempedak, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340",East Jakarta,Hotel,-6.244550334,106.8754725
10,Blue Sky Petamburan,"Jl. K.S. Tubun No.19, RT.5/RW.6, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260",Central Jakarta,Hotel,-6.19993255,106.8019503
11,Fairmont Jakarta,"Jl. Asia Afrika No.8, Senayan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",South Jakarta,Hotel,-6.221804645,106.7990578
12,Gran Melia Jakarta,"Jl. H. R. Rasuna Said No.5 4, RT.5/RW.4, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950",South Jakarta,Hotel,-6.23506595,106.8303183
13,Grand Hyatt Jakarta,"Jl. M.H. Thamrin, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",Central Jakarta,Hotel,-6.1938884,106.8220257
14,Grand Mercure Harmoni,"Jl. Hayam Wuruk No.36 - 37, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",Central Jakarta,Hotel,-6.16014495,106.8199518
