Name,Address,District,Type,Lat,Long
Pasar Baru,"Jl. H. Samanhudi Kel.Pasar Baru
telp: 3845177",Central Jakarta,Market,-6.164901,106.8334669
Pasar Bendungan Hilir,"Jl. Bendungan Hilir Raya Kel.Bendungan Hilir Kec.Tanah Abang. Kode-pos 10210
telp: 5733574",Central Jakarta,Market,-6.2153863,106.8149685
Pasar Blora,"Jl. Kendal No.25 Kel.Menteng Kec.Menteng
telp: 3903868",Central Jakarta,Market,-6.2017923,106.8237853
Pasar Cideng Thomas,"Jl. Tanah Abang V Kel.Petojo Selatan Kec.Gambir
telp: 3450147",Central Jakarta,Market,-6.179838,106.8133731
Pasar Cikini Ampiun,"Jl. Pegangsaan Timur Kel.Pegangsaan Kec.Menteng. Kode-pos 10330
telp: 3142084",Central Jakarta,Market,-6.198541009,106.8415434
Pasar Gandaria,"Jl. Kebon Kacang I Kel.Kebon Kacang Kec.Tanah Abang
telp : -",Central Jakarta,Market,-6.1882798,106.8184744
Pasar Gondangdia,"Jl. Sri Kaya Raya Kel.Kebon Sirih Kec.Menteng
telp: 3927723",Central Jakarta,Market,-6.1964579,106.8399432
Pasar Hias Rias Cikini,"Jl. Cikini Raya No.90 Kel.Cikini Kec.Menteng
telp: 3900390",Central Jakarta,Market,-6.196171308,106.8399779
Pasar Jl. Surabaya,"Jl. Surabaya Kel.Menteng Kec.Menteng
telp : -",Central Jakarta,Market,-0.5032645,117.1494434
Pasar Kenari,"Jl. Salemba Raya
telp : -",Central Jakarta,Market,-6.2703473,106.842958
Pasar Lontar / Kb.Melati,"Jl. H. Sabeni Raya Kel.Kebon Melati Kec.Tanah Abang . Kode-pos 103992
telp : -",Central Jakarta,Market,-6.193203936,106.8127292
Pasar Palmerah,"Jl. Hayam Wuruk No.100 Kel.Mangga Besar Kec.Taman Sari. Kode-pos 11120
telp: 5492405",Central Jakarta,Market,-6.2080218,106.7959483
Pasar Paseban,"Jl. Salemba Raya, 014/005 Kel.Paseban Kec.Senen. Kode-pos 10440
telp: 3157077",Central Jakarta,Market,-6.1921356,106.8486652
Pasar Petojo Enclek,"Jl. Suryo Pranoto Gg.IX Kel.Petojo Selatan Kec.Gambir
telp : -",Central Jakarta,Market,-6.170649018,106.8173085
Pasar Petojo Ilir,"Jl. A.M. Sangaji, No.16-18, 003/04 Kel.Petojo Utara Kec.Gambir. Kode-pos 11250
telp: 6329375",Central Jakarta,Market,-6.162924724,106.8122889
Pasar Pramuka Pojok,"Jl. Salemba Raya No.79, 001/05 Kel.Paseban Kec.Senen
telp : -",Central Jakarta,Market,-6.197233492,106.857659
Pasar Tanah Abang Bukit,"Jl. K.H. Fachrudin Kel.Kampung Bali Kec. Tanah Abang. Kode-pos 141303
telp : -",Central Jakarta,Market,-6.184175999,106.8148145
Pasar Cempaka Putih,"Jl. Cempaka Putih Barat III
telp : -",Central Jakarta,Market,-6.1723085,106.8624413
Pasar Gardu Asem,"Jl. Gardu Asem Kel.Kemayoran Kec.Kemayoran Kode-pos 10620
telp : -",Central Jakarta,Market,-6.1649033,106.8472583
Pasar Gembrong,"Jl. Pangkalan Asem Kel.Cempaka Putih Barat Kec.Cempaka Putih. Kode-pos 10520
telp: 4249671",Central Jakarta,Market,-6.2262344,106.8810561
Pasar Jatirawasari,"Jl. Mardani Raya Kel.Cempaka Putih Barat Kec.Cempaka Putih. Kode-pos 10520
telp : -",Central Jakarta,Market,-6.183492501,106.8636625
Pasar Jembatan Merah,"Jl. Kartini Raya Kel.Mangga Dua Selatan Kec.Sawah Besar
telp: 6011584",Central Jakarta,Market,-6.1486801,106.8256211
Pasar Johar Baru,"Jl.Johar Baru II
telp : -",Central Jakarta,Market,-6.1854264,106.8555493
Pasar Karang Anyar,"Jl. Karang Anyar Raya Kel.Karang Anyar Kec.Sawah Besar
telp: 6286325",Central Jakarta,Market,-6.15714795,106.8280048
Pasar Kombongan,"Jl. Bungur Besar Gg.XVII, 001/01 Kel.Gunung Sahari Selatan Kec.Kemayoran
telp : -",Central Jakarta,Market,-6.16122365,106.8409694
Pasar Kwitang Dalam,"Jl. Kramat Kwitang I, 009/09 Kel.Kwitang Dalam Kec.Senen. Kode-pos 10420
telp : -",Central Jakarta,Market,-6.184541848,106.841121
Pasar Nangka Bungur,"Jl. Kalibaru Timur, 006/09 Kel.Utan Panjang Kec.Kemayoran. Kode-pos 10650
telp: 42880259",Central Jakarta,Market,-6.1678779,106.8496093
