,Name,Address,District,Type,Lat,Long
0,Terminal Blok M,"Melawai, Kebayoran Baru, South Jakarta City, Jakarta",Jakarta Selatan,Terminal,-6.2432149,106.8029065
1,Terminal Cililitan,,Jakarta Timur,Terminal,-6.267617904,106.8722242
2,Terminal Grogol,"Grogol, Grogol petamburan, West Jakarta City, Jakarta",Jakarta Barat,Terminal,-6.1663083,106.7922377
3,Terminal Kalideres,"Daan Mogot Rd, East Cengkareng, Cengkareng, West Jakarta City, Jakarta",Jakarta Barat,Terminal,-6.1546237,106.7057836
4,Terminal Kampung Melayu,"Jl. Jatinegara Bar., RT.2/RW.1, Bali Mester, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13320",Jakarta Timur,Terminal,-3.8458281,102.3413546
5,Terminal Kampung Rambutan,"Rambutan, Ciracas, East Jakarta City, Jakarta",Jakarta Timur,Terminal,-6.3107984,106.8837749
6,Terminal Klender,"Jl. Teratai Putih Raya No.2, Malaka Jaya, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13460",Jakarta Timur,Terminal,-6.22137915,106.9326334
7,Terminal Kota Tua,"Jl. Nelayan Tim. No.22, RT.8/RW.7, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110",Jakarta Barat,Terminal,-6.131075004,106.8113116
8,Terminal Lebak Bulus,"PQ6C+FG4, Jakarta Selatan, RT.8/RW.8, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310
",Jakarta Selatan,Terminal,-6.2888041,106.7716373
9,Terminal Manggarai,"RT.2/RW.8, Pasar Manggis, Kota Jakarta Selatan, 12850",Jakarta Selatan,Terminal,-6.20899475,106.8475788
10,Terminal Muara Angke,"RT.22/RW.11, Pluit, Penjaringan, North Jakarta City, Jakarta 14450",Jakarta Utara,Terminal,-6.1091189,106.7733258
11,Terminal Pasar Minggu,"RT.4/RW.1, Pasar Minggu, South Jakarta City, Jakarta 12520",Jakarta Selatan,Terminal,-6.28325075,106.8436569
12,Terminal Pinang Ranti,"Jl. Raya Pd. Gede No.18, Pinang Ranti, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13560",Jakarta Timur,Terminal,-6.2919897,106.8864318
13,Terminal Pulo Gadung,"2, Pulo Gadung, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13260",Jakarta Timur,Terminal,-6.1832368,106.9082851
14,Terminal Pulo Gebang,"Jl, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Jakarta Timur 13950",Jakarta Timur,Terminal,-6.21174935,106.9523981
15,Terminal Ragunan,"Jl. Harsono RM No.31, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550",Jakarta Selatan,Terminal,-6.3054301,106.8200659
16,Terminal Rawa Buaya,"Jalan AA, RW.2, Cengkareng Barat, Cengkareng, Kota Jakarta Barat, 11730",Jakarta Barat,Terminal,-6.16063455,106.7254806
17,Terminal Rawamangun,"Jati, Pulo Gadung, East Jakarta City, Jakarta",Jakarta Timur,Terminal,-6.1979441,106.8913559
18,Terminal Senen,"RW.3, Senen, Central Jakarta City, Jakarta 10410",Jakarta Pusat,Terminal,-6.1736179,106.8420843
19,Terminal Tanah Merdeka,"RT.15/RW.12, Kali Baru, Cilincing, North Jakarta City, Jakarta 14110",Jakarta Utara,Terminal,-6.108030707,106.9234946
20,Terminal Tanjung Priok,"Stasiun, Tj. Priok, Kec. Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14310",Jakarta Utara,Terminal,-6.1022302,106.8998608
