Name,Address,District,Type,Lat,Long
Autograph Tower Thamrin Nine,"7, Jl. Kota Bumi Gang Kertapati No.8, RT.13/RW.20, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",Central Jakarta,Building,-6.198990277,106.8216405
Luminary Tower,"Autograph Tower Floor 28, Thamrin Nine Complex, Jl. M.H. Thamrin No.10, Central Jakarta City, Jakarta 10230",Central Jakarta,Building,-6.19836175,106.8213197
Gama Tower,"GAMA TOWER FI 33, Jl. H. R. Rasuna Said No.2, Karet Kuningan, Kecamatan Setiabudi, Daerah Khusus Ibukota Jakarta 12940",South Jakarta,Building,-6.223627736,106.8337854
Menara Jakarta,"Arena Pekan Raya Jkt - Kemayoran, Jl. H. Benyamin Sueb No.10, RW.10, Gn. Sahari Sel., Kec. Kemayoran, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14410",North Jakarta,Building,-6.149289853,106.8464718
Treasury Tower,"SCBD, Treasury Tower, 10th Floor, Unit A District 8, Jl. Jenderal Sudirman No.52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190",South Jakarta,Building,-6.22792935,106.8062975
Jakarta Mori Tower,"Jl. Bendungan Hilir No.4, RT.14/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",Central Jakarta,Building,-6.2165113,106.8151384
Wisma 46,"Jl. Jenderal Sudirman No.Kav. 1, RT.1/RW.8, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",Central Jakarta,Building,-6.203565,106.8204267
Menara Astra,"Jalan Jendral Sudirman Jl. Kav. P&K V No.6, RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, DKI Jakarta 10220",Central Jakarta,Building,-6.20715065,106.8211303
Millennium Office Tower,"Millennium Centennial Center, Jl. Jenderal Sudirman No.Kav 25, RT.12/RW.2, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",South Jakarta,Building,-6.212872471,106.8212532
Raffles Hotel,"Ciputra World, Jl. Prof. DR. Satrio No.Kav 3 – 5, Karet Kuningan, Kecamatan Setiabudi, Daerah Khusus Ibukota Jakarta 12940",South Jakarta,Building,-6.223416718,106.8236996
The Pakubuwono Signature,"Jl. Pakubuwono VI No.72, RT.4/RW.7, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120",South Jakarta,Building,-6.2384117,106.7860154
Trinity Tower,"Jalan H R Rasuna Said Kav C22, Block IIB, Jakarta 12940",South Jakarta,Building,-6.225060064,106.8335129
World Capital Tower,"Jl. Mega Kuningan Barat Lingkar Mega Kuningan No.3, RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950",South Jakarta,Building,-6.22946375,106.8267251
St Regis Hotel and Residence,"Rajawali Place Jalan HR Rasuna Said Kav. B/4, Kuningan, Setia Budi, Jakarta, Seatan, Daerah Khusus Ibukota Jakarta 12910",South Jakarta,Building,-6.206135151,106.8274861
Sahid Sudirman Center,"Jl. Jend. Sudirman Kav. 86, Jend. Sudirman, Sudirman, Jakarta Selatan",South Jakarta,Building,-6.21087,106.8186038
Sinarmas MSIG Tower,"Chase Plaza, Jl. Jenderal Sudirman No.21, RT.10/RW.1, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",South Jakarta,Building,-6.2105876,106.8222748
Menara BCA,"Jl. M.H. Thamrin No.1, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Central Jakarta,Building,-6.1967217,106.8224509
Casa Domaine Tower 1,"Jl. K.H. Mas Mansyur Blok 1, RT.6/RW.8, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",Central Jakarta,Building,-6.201998176,106.8163989
Keraton at The Plaza,"Jl. M.H. Thamrin No.Kav. 15, Gondangdia, Kec. Menteng, Jakarta, Daerah Khusus Ibukota Jakarta 10350",Central Jakarta,Building,-6.19216045,106.82178
BTPN Tower,"Jl. Mega Kuningan No.18, RT.5/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",South Jakarta,Building,-6.229749394,106.8275409
Telkom Landmark Tower 2,"The Telkom Hub, Jl. Gatot Subroto No.52, RW.1, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710",South Jakarta,Building,-6.230260275,106.8183097
Equity Tower,"Sudirman Central Busines District Lot 9 JRT.5, Jl. Jenderal Sudirman No.Kav.52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 12190",Central Jakarta,Building,-6.22646495,106.8085237
The Peak,"Jl. Setiabudi Raya No.9, RT.2/RW.2, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910",South Jakarta,Building,-6.210421679,106.8237619
Denpasar Residence,"Jl. Prof. DR. Satrio No.18, RT.7/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",South Jakarta,Building,-6.224436796,106.8295115
Capital Place Office Tower,"Jl. Jend. Gatot Subroto Kav. 18, Gatot Subroto, Jakarta Selatan",South Jakarta,Building,-6.232205083,106.8202325
The Energy Tower,"Scbd, SCBD Lot 11A, Jl. Jend. sudirman kav 52-53, RT.5/RW.3, Senayan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190",South Jakarta,Building,-6.225859042,106.8066077
Kempinski Residences,"Jl. M.H. Thamrin No.1, RT.1/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",North Jakarta,Building,-6.195595259,106.8223556
Bakrie Tower,"Jl. Epicentrum Utama Raya No.2, RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",South Jakarta,Building,-6.21919015,106.8345811
International Financial Centre Tower 2,"Jl. Jenderal Sudirman No.Kav 22-23, RT.10/RW.1, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",South Jakarta,Building,-6.211500655,106.8210713
fX Residence,"Jl. Jenderal Sudirman Jl. Pintu Satu Senayan, RT.14/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",Central Jakarta,Building,-6.224906525,106.8037831
The Ritz-Carlton Jakarta,"Jl. DR. Ide Anak Agung Gde Agung Kav.E, Jakarta, Jl. Mega Kuningan Barat No.1, Daerah Khusus Ibukota Jakarta 12950",South Jakarta,Building,-6.22852835,106.8271551
The Tower Jakarta,"2, Jl. Gatot Subroto No.27, RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930",South Jakarta,Building,-6.2252594,106.8174702
PCPD Tower,"5, Jl. Jenderal Sudirman No.52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, 12190",South Jakarta,Building,-6.227750774,106.8083103
Ascott Jakarta,"Jl. Kebon Kacang Raya No.2, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",Central Jakarta,Building,-6.1949018,106.8183828
Sequis Centre Tower,"Jl. Jenderal Sudirman No.Kav.17, Kb. Baru, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830",South Jakarta,Building,-6.224652549,106.8065634
Casa Domaine,"Jl. K.H. Mas Mansyur Blok 1, RT.6/RW.8, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",Central Jakarta,Building,-6.202068763,106.8164156
World Trade Centre Jakarta,"Jl. Jenderal Sudirman No.Kav. 29-31, RT.8/RW.3, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",South Jakarta,Building,-6.215147,106.8203088
SeaView Condominium,"VQRJ+P2P, Jl. Pluit Karang Ayu 1, RT.20/RW.2, Pluit, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",North Jakarta,Building,-6.108097018,106.7800621
The City Center Tower 1,"Kav. 126Jl. K.H. Mas Mansyur Jakarta Pusat , Indonesia, Kav. 126Jl. K.H. Mas Mansyur, District, Jakarta Pusat",Central Jakarta,Building,-6.210787874,106.8161732
